00:00:00,D1,MP30,00:00:00,"(16.318586524981825, 48.20893000613345)","(16.34853499773646, 48.21290876016659)",3,,,,,,
00:00:00,D2,MP30,00:00:01,"(16.393581795118127, 48.268006659645145)","(16.36359995, 48.2098319)",1,,,,,,
00:00:00,D3,MP20,00:00:04,"(16.310273997176843, 48.218881181321585)","(16.360005546013475, 48.20674529420971)",2,,,,,,
00:00:00,D4,MP30,00:00:04,"(16.413526360203182, 48.17914110644286)","(16.375581101006063, 48.1866611435732)",2,,,,,,
00:00:00,D5,MP30,00:00:06,"(16.38412235352899, 48.26829797763091)","(16.291228148894664, 48.24296140488587)",3,,,,,,
00:00:00,D6,MP20,00:00:08,"(16.28759630513326, 48.23172910757867)","(16.27914603507681, 48.20658214271782)",2,,,,,,
00:00:00,D7,MP20,00:00:08,"(16.37937421206571, 48.19156220979596)","(16.422803462222152, 48.19127478278255)",3,,,,,,
00:00:00,D8,MP30,00:00:08,"(16.383779249309587, 48.25558986455013)","(16.356386567957642, 48.22023554218491)",2,,,,,,
00:00:00,D9,MP20,00:00:09,"(16.45166304060458, 48.1690897739783)","(16.373837403546762, 48.20728259364328)",1,,,,,,
00:00:00,D10,MP30,00:00:11,"(16.39317614884457, 48.15305348714484)","(16.361021, 48.24420895)",1,,,,,,
00:00:00,D11,MP20,00:00:13,"(16.35090562013697, 48.16299468752664)","(16.395245471227017, 48.202329563762554)",1,,,,,,
00:00:00,D12,MP30,00:00:14,"(16.331609741186046, 48.15037738126956)","(16.349071013853877, 48.20137444482532)",2,,,,,,
00:00:00,D13,MP30,00:00:16,"(16.324726714289824, 48.19712558202888)","(16.37838090227196, 48.14363345187243)",3,,,,,,
00:00:00,D14,MP20,00:00:16,"(16.331159741186045, 48.15037738126956)","(16.349840999999998, 48.1825003)",3,,,,,,
00:00:00,D15,MP20,00:00:16,"(16.321390848743356, 48.16043552613012)","(16.32252860495722, 48.14439486485833)",3,,,,,,
00:00:00,D16,MP30,00:00:17,"(16.363596582036863, 48.182744633294796)","(16.321067396761137, 48.165361616917764)",3,,,,,,
00:00:00,D17,MP30,00:00:19,"(16.3506024, 48.185117950000006)","(16.355356178227552, 48.21035536430987)",2,,,,,,
00:00:00,D18,MP30,00:00:20,"(16.43278135815599, 48.16326446991315)","(16.3711911773609, 48.18985709109212)",2,,,,,,
00:00:00,D19,MP20,00:00:21,"(16.349823975879037, 48.18057449564003)","(16.35054195, 48.18763415)",1,,,,,,
00:00:00,D20,MP30,00:00:21,"(16.37443461523778, 48.2620580790459)","(16.37590887485005, 48.22246857246731)",1,,,,,,
00:00:00,D21,MP20,00:00:22,"(16.363596582036863, 48.182744633294796)","(16.34414997338435, 48.199149821456594)",2,,,,,,
00:00:00,D22,MP30,00:00:22,"(16.387575222609417, 48.18837410809829)","(16.364194094044972, 48.185706512472265)",2,,,,,,
00:00:00,D23,MP20,00:00:22,"(16.3097329, 48.21551175)","(16.372873871971457, 48.201789607827415)",1,,,,,,
00:00:00,D24,MP20,00:00:23,"(16.371201852348957, 48.18871434556966)","(16.369709275834644, 48.215995264989544)",3,,,,,,
00:00:00,D25,MP30,00:00:23,"(16.427807502497064, 48.23742284460008)","(16.360005040823605, 48.14999159668417)",1,,,,,,
00:00:00,D26,MP20,00:00:23,"(16.27298229498073, 48.19627260215861)","(16.393253323716483, 48.17817840121709)",3,,,,,,
00:00:00,D27,MP30,00:00:24,"(16.29588949678693, 48.18675555339637)","(16.360005546013475, 48.20674529420971)",1,,,,,,
00:00:00,D28,MP20,00:00:24,"(16.331159741186045, 48.15037738126956)","(16.41692449146047, 48.245028170944934)",1,,,,,,
00:00:00,D29,MP30,00:00:25,"(16.407750104300632, 48.19711329121828)","(16.372873871971457, 48.201789607827415)",1,,,,,,
00:00:00,D30,MP20,00:00:26,"(16.368861323138795, 48.23612597852301)","(16.321714496658426, 48.1843765010235)",1,,,,,,
